https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AR,Volume BUSD,tradecount
1684022400000,2023-05-14,ARBUSD,6.46,6.7,6.35,6.65,19593.58,128834.3668,2108
1683936000000,2023-05-13,ARBUSD,6.65,6.65,6.4,6.46,11721.48,76064.4873,1815
1683849600000,2023-05-12,ARBUSD,6.47,6.65,6.21,6.65,68906.97,438748.5201,4866
1683763200000,2023-05-11,ARBUSD,7.0,7.01,6.37,6.47,31619.77,210133.5993,3362
1683676800000,2023-05-10,ARBUSD,6.61,7.07,6.52,7.01,57726.82,391389.6494,5380
1683590400000,2023-05-09,ARBUSD,6.6,6.65,6.45,6.62,21898.39,143815.0801,2716
1683504000000,2023-05-08,ARBUSD,7.23,7.27,6.35,6.6,59536.42,404336.7912,4435
1683417600000,2023-05-07,ARBUSD,7.36,7.43,7.21,7.24,16219.96,119266.7867,1738
1683331200000,2023-05-06,ARBUSD,7.95,8.0,7.26,7.36,25597.23,192913.2847,3364
1683244800000,2023-05-05,ARBUSD,7.75,7.99,7.64,7.96,18284.03,143852.4539,2150
1683158400000,2023-05-04,ARBUSD,7.85,7.93,7.69,7.75,23222.47,181637.8561,1964
1683072000000,2023-05-03,ARBUSD,7.66,7.89,7.43,7.84,20450.48,155518.8042,2951
1682985600000,2023-05-02,ARBUSD,7.47,7.68,7.42,7.65,19494.53,147248.4249,2227
1682899200000,2023-05-01,ARBUSD,7.55,7.76,7.36,7.48,85588.52,649356.727,5159
1682812800000,2023-04-30,ARBUSD,7.8,7.82,7.54,7.54,16044.53,123434.3341,1914
1682726400000,2023-04-29,ARBUSD,7.79,7.88,7.68,7.79,12206.17,95242.8212,1338
1682640000000,2023-04-28,ARBUSD,7.82,7.83,7.61,7.79,13323.86,103065.5938,1696
1682553600000,2023-04-27,ARBUSD,7.63,7.91,7.6,7.82,21787.18,169171.7125,3424
1682467200000,2023-04-26,ARBUSD,7.82,8.09,7.23,7.63,36552.4,281589.0555,3369
1682380800000,2023-04-25,ARBUSD,7.72,7.87,7.44,7.82,19056.55,145149.4717,2231
1682294400000,2023-04-24,ARBUSD,7.78,7.9,7.55,7.73,15994.66,123299.866,1944
1682208000000,2023-04-23,ARBUSD,7.86,7.89,7.54,7.78,23368.77,181062.1648,2884
