https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ENJ,Volume USDT,tradecount
1762128000000,2025-11-03,ENJUSDT,0.04677,0.04727,0.036,0.03857,45710454.9,1855439.670255,20782
1762041600000,2025-11-02,ENJUSDT,0.04342,0.04717,0.04286,0.04672,24028983.6,1072296.106576,10844
1761955200000,2025-11-01,ENJUSDT,0.04181,0.04367,0.04141,0.04352,12941297.7,550067.064241,7023
1761868800000,2025-10-31,ENJUSDT,0.04082,0.04231,0.04062,0.04182,8592954.9,357482.79648,5123
1761782400000,2025-10-30,ENJUSDT,0.04329,0.04395,0.0394,0.04083,16007888.8,662982.419391,5666
1761696000000,2025-10-29,ENJUSDT,0.04314,0.04455,0.04191,0.04331,18729181.9,811256.881936,17660
1761609600000,2025-10-28,ENJUSDT,0.04347,0.04494,0.04187,0.04314,21221828.6,927487.784834,10520
1761523200000,2025-10-27,ENJUSDT,0.04532,0.04615,0.04334,0.04351,28439863.3,1278364.059299,15825
1761436800000,2025-10-26,ENJUSDT,0.04467,0.0458,0.0441,0.04528,11813004.0,533486.274724,6986
1761350400000,2025-10-25,ENJUSDT,0.04469,0.04506,0.04402,0.04464,11816119.9,525742.711519,5634
1761264000000,2025-10-24,ENJUSDT,0.04416,0.0449,0.04326,0.04469,13132631.4,580054.656953,7380
1761177600000,2025-10-23,ENJUSDT,0.04294,0.04478,0.04281,0.04413,13192365.4,575734.086225,6296
1761091200000,2025-10-22,ENJUSDT,0.04417,0.04479,0.04136,0.04295,18976731.4,823766.253927,12747
1761004800000,2025-10-21,ENJUSDT,0.04618,0.04772,0.04402,0.04416,24839732.9,1139460.039123,28947
1760918400000,2025-10-20,ENJUSDT,0.04621,0.04786,0.04529,0.04618,11136216.6,520796.6218,10257
1760832000000,2025-10-19,ENJUSDT,0.04513,0.0471,0.04427,0.04621,36058408.4,1637284.504185,32576
1760745600000,2025-10-18,ENJUSDT,0.04483,0.04622,0.04437,0.04517,10719942.0,485875.708309,14315
1760659200000,2025-10-17,ENJUSDT,0.04547,0.04614,0.04146,0.04484,21313515.4,934017.779291,12255
1760572800000,2025-10-16,ENJUSDT,0.04821,0.04966,0.04476,0.04549,23282771.6,1102660.985665,33908
1760486400000,2025-10-15,ENJUSDT,0.05091,0.05189,0.04745,0.04822,18975221.5,937325.649934,23220
1760400000000,2025-10-14,ENJUSDT,0.0532,0.0536,0.0475,0.0509,25964017.3,1294167.479584,16998
