https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SAND,Volume USDT,tradecount
1766448000000,2025-12-23,SANDUSDT,0.1152,0.1162,0.1102,0.1114,9595707.0,1080127.6879,10157
1766361600000,2025-12-22,SANDUSDT,0.1171,0.1198,0.1137,0.1152,11131989.0,1297859.3195,7569
1766275200000,2025-12-21,SANDUSDT,0.1209,0.1213,0.1147,0.1171,9079523.0,1071484.1267,8091
1766188800000,2025-12-20,SANDUSDT,0.1196,0.123,0.1186,0.121,6574315.0,791825.769,5360
1766102400000,2025-12-19,SANDUSDT,0.1116,0.1204,0.1097,0.1197,12017770.0,1395131.33,9918
1766016000000,2025-12-18,SANDUSDT,0.1151,0.1199,0.1088,0.1115,15923958.0,1810203.0288,13712
1765929600000,2025-12-17,SANDUSDT,0.121,0.1248,0.1141,0.115,13146024.0,1564117.7293,13251
1765843200000,2025-12-16,SANDUSDT,0.1191,0.1232,0.1168,0.1211,11697719.0,1407949.5662,11336
1765756800000,2025-12-15,SANDUSDT,0.1251,0.1297,0.1164,0.1192,14055631.0,1720179.9203,10465
1765670400000,2025-12-14,SANDUSDT,0.1327,0.1336,0.1233,0.125,10661306.0,1369815.2922,10507
1765584000000,2025-12-13,SANDUSDT,0.1311,0.1344,0.1309,0.1328,5361407.0,711804.3588,5269
1765497600000,2025-12-12,SANDUSDT,0.1378,0.1388,0.1283,0.131,14617243.0,1946088.9648,20053
1765411200000,2025-12-11,SANDUSDT,0.1438,0.144,0.1336,0.1378,19798986.0,2714074.5384,21424
1765324800000,2025-12-10,SANDUSDT,0.1466,0.1515,0.1413,0.1439,14610470.0,2128976.9006,20527
1765238400000,2025-12-09,SANDUSDT,0.1401,0.1497,0.1393,0.1466,16114604.0,2332578.6343,28250
1765152000000,2025-12-08,SANDUSDT,0.1391,0.1448,0.1387,0.14,9405086.0,1334148.7562,17983
1765065600000,2025-12-07,SANDUSDT,0.1434,0.1444,0.1357,0.1392,13214402.0,1856644.8043,18125
1764979200000,2025-12-06,SANDUSDT,0.1402,0.1471,0.1399,0.1434,12095302.0,1737200.0659,18550
1764892800000,2025-12-05,SANDUSDT,0.1483,0.1503,0.1373,0.1401,13753959.0,1977162.2459,19231
1764806400000,2025-12-04,SANDUSDT,0.1555,0.1563,0.147,0.1483,8099353.0,1233680.8726,15154
1764720000000,2025-12-03,SANDUSDT,0.1512,0.1571,0.1491,0.1554,11730642.0,1792263.5245,13763
1764633600000,2025-12-02,SANDUSDT,0.1419,0.154,0.1391,0.1512,9692213.0,1418235.7174,11179
1764547200000,2025-12-01,SANDUSDT,0.151,0.1515,0.137,0.1418,21845157.0,3084782.3562,30163
1764460800000,2025-11-30,SANDUSDT,0.1553,0.1558,0.1507,0.151,5679605.0,874070.7181,11441
1764374400000,2025-11-29,SANDUSDT,0.1584,0.1602,0.1541,0.1553,7176944.0,1125701.3436,12114
1764288000000,2025-11-28,SANDUSDT,0.1616,0.1633,0.1571,0.1583,6932727.0,1109647.776,15163
1764201600000,2025-11-27,SANDUSDT,0.1612,0.164,0.1591,0.1616,8012078.0,1294947.8952,13081
1764115200000,2025-11-26,SANDUSDT,0.1593,0.1627,0.1541,0.1611,11450278.0,1815846.9876,14026
1764028800000,2025-11-25,SANDUSDT,0.1593,0.1612,0.1534,0.1592,15001024.0,2365922.8589,17393
1763942400000,2025-11-24,SANDUSDT,0.1516,0.1615,0.1496,0.1594,10323685.0,1597299.9735,17701
1763856000000,2025-11-23,SANDUSDT,0.1515,0.1554,0.1501,0.1516,8941713.0,1371384.6496,11138
1763769600000,2025-11-22,SANDUSDT,0.1526,0.1535,0.1461,0.1514,11914104.0,1781162.4126,17022
1763683200000,2025-11-21,SANDUSDT,0.165,0.1673,0.1469,0.1525,34175654.0,5395035.3376,48609
1763596800000,2025-11-20,SANDUSDT,0.1749,0.1807,0.1611,0.165,49642811.0,8268394.6043,66987
1763510400000,2025-11-19,SANDUSDT,0.1778,0.179,0.1662,0.1749,9481724.0,1640391.6844,19225
1763424000000,2025-11-18,SANDUSDT,0.1726,0.1813,0.1689,0.1778,10568766.0,1849899.3729,22514
1763337600000,2025-11-17,SANDUSDT,0.1797,0.1847,0.1692,0.1726,13729662.0,2435601.877,31249
1763251200000,2025-11-16,SANDUSDT,0.183,0.1852,0.1723,0.1798,12605965.0,2251742.1457,20322
1763164800000,2025-11-15,SANDUSDT,0.18,0.1871,0.1797,0.1831,6771342.0,1245934.3802,12036
1763078400000,2025-11-14,SANDUSDT,0.1877,0.1895,0.1766,0.18,12193552.0,2242127.7976,25593
1762992000000,2025-11-13,SANDUSDT,0.1954,0.2033,0.1809,0.1877,13856464.0,2680645.3678,23997
1762905600000,2025-11-12,SANDUSDT,0.1971,0.2079,0.1915,0.1954,11001243.0,2204283.6068,22212
1762819200000,2025-11-11,SANDUSDT,0.2107,0.2143,0.1959,0.197,15340517.0,3136633.4857,27395
