https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume YFI,Volume USDT,tradecount
1627257600000,2021-07-26,YFIUSDT,29971.88,33187.97,29817.37,30064.28,780.881665,24632659.77775052,66219
1627171200000,2021-07-25,YFIUSDT,29509.34,29976.62,28653.13,29945.19,239.271961,7002015.71447458,16526
1627084800000,2021-07-24,YFIUSDT,29427.03,30268.69,28900.0,29485.39,389.450948,11485514.8178526,25493
1626998400000,2021-07-23,YFIUSDT,28513.61,29441.88,27911.81,29424.63,305.238278,8788130.97255798,26022
1626912000000,2021-07-22,YFIUSDT,28292.84,28866.86,27462.82,28492.57,342.978013,9688059.99206299,22981
1626825600000,2021-07-21,YFIUSDT,25811.48,29772.21,25296.12,28289.5,543.461968,15163747.19274093,40241
1626739200000,2021-07-20,YFIUSDT,26882.41,27300.0,24800.0,25787.3,399.886467,10269850.0305349,26036
1626652800000,2021-07-19,YFIUSDT,27965.89,28311.99,26607.44,26855.4,297.198767,8128429.57334501,19514
1626566400000,2021-07-18,YFIUSDT,27679.6,28917.04,27525.81,27959.51,312.70617,8832364.55990743,22435
1626480000000,2021-07-17,YFIUSDT,27615.37,28200.0,27013.84,27648.76,311.221244,8591266.32596047,24761
1626393600000,2021-07-16,YFIUSDT,30101.45,30556.35,27483.88,27602.38,691.881487,19936183.52947785,39664
1626307200000,2021-07-15,YFIUSDT,31517.39,32315.49,29720.0,30101.45,360.788294,11046941.24949747,27104
1626220800000,2021-07-14,YFIUSDT,32282.31,32432.35,30124.74,31505.81,466.318506,14623409.61181132,34466
1626134400000,2021-07-13,YFIUSDT,32814.36,33868.0,31915.13,32267.26,364.956493,11975903.09917645,26660
1626048000000,2021-07-12,YFIUSDT,33827.64,34388.0,32234.0,32843.0,224.96029,7480239.91373148,15974
1625961600000,2021-07-11,YFIUSDT,33183.14,34319.56,32766.94,33826.33,194.238807,6525807.45087075,16877
1625875200000,2021-07-10,YFIUSDT,33508.68,34084.22,32452.03,33154.7,237.1795,7854165.40058475,19062
1625788800000,2021-07-09,YFIUSDT,33074.86,34026.7,31635.58,33473.06,347.646871,11445542.91175822,28180
1625702400000,2021-07-08,YFIUSDT,35439.11,35501.25,32322.0,33070.65,835.705457,28142220.70189973,54168
1625616000000,2021-07-07,YFIUSDT,35911.03,37783.66,35176.08,35399.46,640.645065,23471532.85969859,53229
1625529600000,2021-07-06,YFIUSDT,32421.59,37365.0,32405.8,35904.47,1254.095323,44506415.59064592,92875
1625443200000,2021-07-05,YFIUSDT,33394.0,33447.15,31000.0,32417.36,455.557444,14693182.8440217,38863
1625356800000,2021-07-04,YFIUSDT,32670.53,34500.0,31602.76,33394.0,451.198739,15043800.58908558,38762
1625270400000,2021-07-03,YFIUSDT,32051.79,34800.0,31518.01,32670.53,392.360646,12902162.68981361,34720
1625184000000,2021-07-02,YFIUSDT,31947.24,32396.49,30582.26,32039.4,256.828024,8068456.38030496,21625
1625097600000,2021-07-01,YFIUSDT,33845.17,34252.81,31585.62,31931.17,504.989337,16549675.05459462,36346
1625011200000,2021-06-30,YFIUSDT,33624.5,34039.52,31173.48,33843.07,625.086078,20329630.17974199,44081
1624924800000,2021-06-29,YFIUSDT,31408.88,34850.0,31266.64,33635.36,800.318186,26655235.02569494,56584
1624838400000,2021-06-28,YFIUSDT,30273.17,32887.93,29784.28,31409.26,648.531353,20173497.25244872,49300
1624752000000,2021-06-27,YFIUSDT,28713.93,30275.33,27891.73,30273.17,371.638421,10764850.40606304,30803
1624665600000,2021-06-26,YFIUSDT,28106.52,28948.52,26749.89,28694.41,551.342926,15450486.71370662,42501
1624579200000,2021-06-25,YFIUSDT,31407.83,31855.95,27874.85,28110.46,519.838007,15350234.35846346,39248
1624492800000,2021-06-24,YFIUSDT,31019.57,32112.38,29382.41,31349.41,314.999296,9731442.43955631,23216
1624406400000,2021-06-23,YFIUSDT,28704.87,32438.66,27620.54,30957.17,864.120321,26799806.67713797,56449
1624320000000,2021-06-22,YFIUSDT,29377.34,31433.73,25000.0,28737.14,1442.348167,40402035.86450696,101349
1624233600000,2021-06-21,YFIUSDT,36039.24,36264.07,28872.44,29367.23,1029.245308,32517780.07646475,79111
1624147200000,2021-06-20,YFIUSDT,33213.29,37351.92,32834.4,36012.15,843.946803,29912498.36407582,64410
1624060800000,2021-06-19,YFIUSDT,34163.13,34889.44,33200.0,33213.29,186.304469,6352572.77386308,17419
1623974400000,2021-06-18,YFIUSDT,36297.93,36494.8,32513.1,34163.13,471.110168,16166182.6452043,30805
1623888000000,2021-06-17,YFIUSDT,36406.32,37598.68,35351.63,36319.92,185.208547,6761673.80855758,16518
1623801600000,2021-06-16,YFIUSDT,38902.92,38972.55,36101.61,36457.89,295.881171,11032280.36837891,26869
1623715200000,2021-06-15,YFIUSDT,39425.21,40200.0,38431.54,38901.31,248.141357,9764791.08531694,19830
1623628800000,2021-06-14,YFIUSDT,38533.56,40455.47,38002.56,39425.21,489.61626,19187757.28069369,36458
1623542400000,2021-06-13,YFIUSDT,36349.09,39000.52,35175.11,38527.58,458.13922,16959970.37790865,28585
1623456000000,2021-06-12,YFIUSDT,36927.53,37291.82,34601.53,36305.39,425.293106,15355525.83184631,32595
1623369600000,2021-06-11,YFIUSDT,37793.33,38401.13,36029.01,36926.6,502.910113,18682586.47308702,41393
1623283200000,2021-06-10,YFIUSDT,40500.0,40626.73,37052.5,37793.2,432.160504,16741614.92853581,35123
1623196800000,2021-06-09,YFIUSDT,39680.15,41128.02,37685.52,40500.0,667.767631,26547676.85938506,49676
1623110400000,2021-06-08,YFIUSDT,40382.81,41109.04,35854.47,39643.92,841.603242,32518570.37138351,60986
1623024000000,2021-06-07,YFIUSDT,43072.76,44300.0,40001.02,40442.23,599.231477,25654439.44870116,48474
1622937600000,2021-06-06,YFIUSDT,42180.01,44729.67,41707.46,43072.75,862.354984,37280508.52721831,56852
1622851200000,2021-06-05,YFIUSDT,42640.4,44572.41,40692.01,42237.59,627.993328,26732011.50422565,43202
1622764800000,2021-06-04,YFIUSDT,45920.19,45961.27,40692.41,42593.43,693.116098,29654234.26098013,55075
1622678400000,2021-06-03,YFIUSDT,45167.52,47192.36,44476.97,45924.0,715.111566,32808539.0253954,47518
1622592000000,2021-06-02,YFIUSDT,45071.01,46632.54,43736.0,45170.74,745.013178,33877398.31467544,51883
1622505600000,2021-06-01,YFIUSDT,46938.89,47786.62,43858.58,45071.01,739.630438,33494303.69507366,61578
1622419200000,2021-05-31,YFIUSDT,41823.92,47280.0,40000.0,46962.62,1063.242687,47312602.53731114,94915
1622332800000,2021-05-30,YFIUSDT,39182.64,43932.4,37259.25,41883.7,706.192474,29434961.1158725,59045
1622246400000,2021-05-29,YFIUSDT,40899.15,42942.7,37500.0,39164.57,755.82371,30291121.92298576,57939
1622160000000,2021-05-28,YFIUSDT,46840.63,47335.83,39000.0,40835.65,1162.111527,49469303.59253757,99518
1622073600000,2021-05-27,YFIUSDT,50225.97,50274.09,44851.27,46882.55,1020.934917,48251922.80116672,86099
1621987200000,2021-05-26,YFIUSDT,46899.14,51800.6,45631.23,50225.97,1883.420215,91915363.0857678,176971
1621900800000,2021-05-25,YFIUSDT,48350.0,50988.07,42088.0,46899.38,2518.16536,117490149.70245399,206578
1621814400000,2021-05-24,YFIUSDT,32583.91,51963.2,31848.0,48350.0,4082.339253,174945364.6878523,292266
1621728000000,2021-05-23,YFIUSDT,38441.97,40185.62,23859.75,32549.68,3678.650939,112410135.9772048,214700
1621641600000,2021-05-22,YFIUSDT,43601.12,44745.2,36954.92,38445.21,1448.15556,58045991.24571161,119978
1621555200000,2021-05-21,YFIUSDT,51697.4,54609.64,35700.0,43601.12,2235.404204,100769482.40228093,184026
1621468800000,2021-05-20,YFIUSDT,45921.97,57286.63,37690.04,51700.14,2763.939477,134620169.37220564,241549
1621382400000,2021-05-19,YFIUSDT,72885.41,74565.2,34070.26,45704.98,4251.657724,230864272.99986044,378991
1621296000000,2021-05-18,YFIUSDT,64250.72,77821.98,63632.44,72833.03,1993.843359,143464850.59554484,247963
1621209600000,2021-05-17,YFIUSDT,65850.35,68926.47,58297.84,64316.81,1574.730892,101036176.9659622,172259
1621123200000,2021-05-16,YFIUSDT,67036.48,70778.7,59720.13,65807.68,1386.111407,91431522.29578245,147821
1621036800000,2021-05-15,YFIUSDT,77676.03,79307.18,65990.0,66907.28,1396.36519,99511620.02925897,161435
1620950400000,2021-05-14,YFIUSDT,66133.19,81484.61,65522.24,77676.94,1764.16493,131541061.28435764,215468
1620864000000,2021-05-13,YFIUSDT,65768.02,80115.75,60000.0,66018.27,2694.662207,185988280.56352255,278297
1620777600000,2021-05-12,YFIUSDT,82875.44,95000.0,64600.0,65548.55,5034.972069,411732444.4526757,530787
1620691200000,2021-05-11,YFIUSDT,62362.63,83013.75,56972.12,82885.12,6112.413139,431321094.757118,621327
1620604800000,2021-05-10,YFIUSDT,53360.6,62680.72,49600.0,62425.79,2097.114071,118019383.8671637,208183
1620518400000,2021-05-09,YFIUSDT,54115.45,55000.0,51723.01,53360.52,425.167892,22691393.9653292,48424
1620432000000,2021-05-08,YFIUSDT,53319.39,55370.49,52015.82,54073.52,686.708411,36829999.42961893,66406
1620345600000,2021-05-07,YFIUSDT,52376.93,54136.94,50251.42,53352.9,937.660416,48903476.49599616,86925
1620259200000,2021-05-06,YFIUSDT,54492.7,57878.25,52051.87,52407.92,1039.178143,56875966.14968595,113633
1620172800000,2021-05-05,YFIUSDT,50299.0,54850.57,49834.77,54521.66,849.723717,44389608.72946995,87422
1620086400000,2021-05-04,YFIUSDT,53366.77,55500.5,49502.12,50288.71,1085.960935,57035042.18958789,100768
1620000000000,2021-05-03,YFIUSDT,48516.39,54352.94,48479.53,53382.78,848.037763,44056581.50498477,84388
1619913600000,2021-05-02,YFIUSDT,49830.06,49920.84,47409.3,48513.34,338.228477,16396721.48709063,30652
1619827200000,2021-05-01,YFIUSDT,48919.03,50639.11,48322.04,49816.58,386.516258,19119996.53877148,40438
1619740800000,2021-04-30,YFIUSDT,46783.18,49419.16,46113.65,48905.73,484.402334,23386738.57366833,45318
1619654400000,2021-04-29,YFIUSDT,48066.01,48544.17,45885.97,46787.64,501.084657,23666440.00134241,45119
1619568000000,2021-04-28,YFIUSDT,48706.37,50575.93,47227.48,48036.58,767.696458,37385342.05524383,76251
1619481600000,2021-04-27,YFIUSDT,45255.99,49379.82,44152.18,48762.07,788.500364,36909675.18453751,73848
1619395200000,2021-04-26,YFIUSDT,39795.0,45437.97,39509.35,45256.01,795.610156,34310647.80343788,73595
1619308800000,2021-04-25,YFIUSDT,39263.94,42280.1,37644.79,39759.1,484.333523,19393887.77432817,44117
1619222400000,2021-04-24,YFIUSDT,43318.22,43327.0,38833.39,39211.49,569.001884,23242137.0153965,54968
1619136000000,2021-04-23,YFIUSDT,45399.89,46299.17,39109.92,43314.66,1567.072429,65548133.94345168,114878
1619049600000,2021-04-22,YFIUSDT,45346.91,51867.0,44043.57,45407.34,1575.558116,76026486.09055114,146449
1618963200000,2021-04-21,YFIUSDT,48880.61,50625.29,44981.33,45343.74,914.37937,43943622.29426311,90694
1618876800000,2021-04-20,YFIUSDT,46744.88,51148.96,43131.0,48880.61,1560.021404,73619789.54353085,137212
1618790400000,2021-04-19,YFIUSDT,53427.48,57497.6,45731.17,46740.3,2428.355807,126829530.04559831,236137
1618704000000,2021-04-18,YFIUSDT,48709.76,53900.0,41888.0,53464.77,1997.303583,94569591.1608242,192722
1618617600000,2021-04-17,YFIUSDT,53098.96,54500.0,48426.18,48625.0,1241.161419,64132678.08435321,117692
1618531200000,2021-04-16,YFIUSDT,50275.03,53500.0,45507.37,53019.06,1284.096868,62946964.24320016,127199
1618444800000,2021-04-15,YFIUSDT,47289.99,53200.0,46957.33,50249.46,2203.039824,111215934.58341844,246198
1618358400000,2021-04-14,YFIUSDT,44800.14,48040.0,42800.0,47290.53,1223.651144,54915258.61315048,144159
1618272000000,2021-04-13,YFIUSDT,43053.98,46442.63,41950.6,44796.8,907.015754,40062983.70137626,86043
1618185600000,2021-04-12,YFIUSDT,45024.95,45265.25,41655.56,43023.81,849.68812,36867717.90222393,76124
1618099200000,2021-04-11,YFIUSDT,44570.85,46900.0,44322.52,45024.95,679.994695,31116012.83704376,86671
