https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MKR,Volume USDT,tradecount
1743724800000,2025-04-04,MKRUSDT,1307.0,1375.0,1268.0,1334.0,7756.3936,10331847.5732,40963
1743638400000,2025-04-03,MKRUSDT,1282.0,1323.0,1228.0,1307.0,5865.0128,7480985.1882,32746
1743552000000,2025-04-02,MKRUSDT,1386.0,1421.0,1278.0,1283.0,8634.7752,11762941.7547,53161
1743465600000,2025-04-01,MKRUSDT,1296.0,1411.0,1287.0,1387.0,7107.5991,9572251.5411,47209
1743379200000,2025-03-31,MKRUSDT,1285.0,1346.0,1254.0,1296.0,6301.4956,8184174.6745,43790
1743292800000,2025-03-30,MKRUSDT,1296.0,1322.0,1258.0,1284.0,4219.7166,5437175.627,34530
1743206400000,2025-03-29,MKRUSDT,1450.0,1492.0,1290.0,1295.0,8189.042,11265150.1705,55459
1743120000000,2025-03-28,MKRUSDT,1445.0,1485.0,1368.0,1451.0,13873.1864,19797476.7042,75168
1743033600000,2025-03-27,MKRUSDT,1375.0,1495.0,1373.0,1444.0,19093.9003,27465639.5972,96910
1742947200000,2025-03-26,MKRUSDT,1294.0,1386.0,1285.0,1375.0,11185.7659,15017327.4146,53974
1742860800000,2025-03-25,MKRUSDT,1274.0,1298.0,1254.0,1294.0,3299.3772,4198265.7946,12965
1742774400000,2025-03-24,MKRUSDT,1228.0,1287.0,1211.0,1275.0,5494.1086,6927002.3058,26238
1742688000000,2025-03-23,MKRUSDT,1237.0,1258.0,1218.0,1228.0,2763.2097,3422224.2395,14337
1742601600000,2025-03-22,MKRUSDT,1228.0,1265.0,1220.0,1237.0,3066.1758,3815753.87,20416
1742515200000,2025-03-21,MKRUSDT,1264.0,1284.0,1193.0,1229.0,7767.4602,9561106.5088,40106
1742428800000,2025-03-20,MKRUSDT,1291.0,1304.0,1235.0,1265.0,6620.4144,8390137.1802,35047
1742342400000,2025-03-19,MKRUSDT,1277.0,1360.0,1267.0,1291.0,17663.8263,23019020.2739,71163
1742256000000,2025-03-18,MKRUSDT,1207.0,1283.0,1184.0,1277.0,12122.1087,14811017.7763,48341
1742169600000,2025-03-17,MKRUSDT,1177.0,1225.0,1177.0,1207.0,4835.1445,5824742.4342,20896
1742083200000,2025-03-16,MKRUSDT,1215.0,1235.0,1156.0,1178.0,13153.4324,15663696.8655,34367
1741996800000,2025-03-15,MKRUSDT,1170.0,1228.0,1165.0,1214.0,4907.8437,5851171.7173,22632
1741910400000,2025-03-14,MKRUSDT,1135.0,1231.0,1130.0,1170.0,9732.3872,11406333.82,37801
1741824000000,2025-03-13,MKRUSDT,1130.0,1160.0,1090.0,1134.0,9640.4711,10865931.1536,47198
1741737600000,2025-03-12,MKRUSDT,1135.0,1149.0,1043.0,1130.0,13231.2241,14656222.9827,54338
1741651200000,2025-03-11,MKRUSDT,1115.0,1176.0,1046.0,1135.0,15328.6827,17325689.5776,91068
1741564800000,2025-03-10,MKRUSDT,1193.0,1231.0,1034.0,1114.0,15813.5077,18071822.9332,59028
1741478400000,2025-03-09,MKRUSDT,1362.0,1388.0,1176.0,1192.0,15225.2264,19452910.0998,69370
1741392000000,2025-03-08,MKRUSDT,1296.0,1366.0,1261.0,1362.0,10913.2043,14407889.2292,63415
1741305600000,2025-03-07,MKRUSDT,1272.0,1346.0,1214.0,1296.0,17441.2555,22422623.1159,106757
1741219200000,2025-03-06,MKRUSDT,1372.0,1429.0,1272.0,1272.0,14994.4385,20146696.4159,66204
1741132800000,2025-03-05,MKRUSDT,1368.0,1451.0,1338.0,1372.0,14377.3365,20018955.9808,67847
1741046400000,2025-03-04,MKRUSDT,1448.0,1476.0,1322.0,1368.0,27883.8887,38829148.2749,165723
1740960000000,2025-03-03,MKRUSDT,1555.0,1568.0,1342.0,1447.0,34539.3198,50811201.9112,191647
1740873600000,2025-03-02,MKRUSDT,1646.0,1730.0,1544.0,1554.0,22137.7502,36276420.6991,146109
1740787200000,2025-03-01,MKRUSDT,1587.0,1711.0,1519.0,1647.0,21478.5024,34669446.5908,157841
1740700800000,2025-02-28,MKRUSDT,1734.0,1773.0,1499.0,1586.0,55649.1377,88944631.9744,309892
1740614400000,2025-02-27,MKRUSDT,1627.0,1798.0,1608.0,1734.0,27808.5922,47751744.9719,183777
1740528000000,2025-02-26,MKRUSDT,1653.0,1739.0,1556.0,1626.0,36333.1545,59985339.1513,216922
1740441600000,2025-02-25,MKRUSDT,1415.0,1692.0,1337.0,1654.0,37006.2366,54802969.4906,242636
1740355200000,2025-02-24,MKRUSDT,1522.0,1577.0,1381.0,1414.0,29626.4721,44107060.5261,158821
1740268800000,2025-02-23,MKRUSDT,1513.0,1639.0,1464.0,1522.0,23317.768,36570193.5599,127702
1740182400000,2025-02-22,MKRUSDT,1459.0,1577.0,1438.0,1513.0,19634.0097,29673614.4643,119436
1740096000000,2025-02-21,MKRUSDT,1428.0,1504.0,1357.0,1458.0,40752.5903,58208103.9031,220509
1740009600000,2025-02-20,MKRUSDT,1173.0,1479.0,1162.0,1427.0,38949.3243,51064790.6209,199049
1739923200000,2025-02-19,MKRUSDT,1120.0,1221.0,1119.0,1174.0,25794.0686,30392745.8465,87063
1739836800000,2025-02-18,MKRUSDT,1047.0,1138.0,1041.0,1119.0,30181.8041,33118048.6756,68728
1739750400000,2025-02-17,MKRUSDT,990.0,1060.0,978.0,1047.0,21111.9569,21496959.0528,70608
1739664000000,2025-02-16,MKRUSDT,1004.0,1024.0,984.0,991.0,4110.036,4127454.8399,16162
1739577600000,2025-02-15,MKRUSDT,1001.0,1015.0,971.0,1004.0,3824.025,3800963.3881,15077
1739491200000,2025-02-14,MKRUSDT,990.0,1022.0,982.0,1002.0,5123.3332,5164110.4491,18787
1739404800000,2025-02-13,MKRUSDT,1016.0,1017.0,979.0,989.0,7205.1784,7170117.4384,24159
1739318400000,2025-02-12,MKRUSDT,953.0,1035.0,946.0,1015.0,10007.7967,9822809.8923,32887
1739232000000,2025-02-11,MKRUSDT,978.0,1002.0,943.0,953.0,7133.3175,6959269.4177,21429
1739145600000,2025-02-10,MKRUSDT,904.0,999.0,886.0,978.0,11915.1451,11243863.0939,37672
